r	I(Rl)
1.000000000000000e-06	2.127193e-02
1.258925411794167e-06	2.127193e-02
1.584893192461113e-06	2.127193e-02
1.995262314968880e-06	2.127193e-02
2.511886431509580e-06	2.127193e-02
3.162277660168380e-06	2.127193e-02
3.981071705534973e-06	2.127193e-02
5.011872336272724e-06	2.127193e-02
6.309573444801935e-06	2.127193e-02
7.943282347242818e-06	2.127193e-02
1.000000000000000e-05	2.127193e-02
1.258925411794168e-05	2.127193e-02
1.584893192461114e-05	2.127193e-02
1.995262314968881e-05	2.127193e-02
2.511886431509582e-05	2.127193e-02
3.162277660168382e-05	2.127193e-02
3.981071705534976e-05	2.127193e-02
5.011872336272727e-05	2.127193e-02
6.309573444801939e-05	2.127193e-02
7.943282347242823e-05	2.127193e-02
1.000000000000001e-04	2.127193e-02
1.258925411794169e-04	2.127193e-02
1.584893192461116e-04	2.127193e-02
1.995262314968882e-04	2.127193e-02
2.511886431509584e-04	2.127193e-02
3.162277660168384e-04	2.127193e-02
3.981071705534979e-04	2.127193e-02
5.011872336272731e-04	2.127193e-02
6.309573444801943e-04	2.127193e-02
7.943282347242828e-04	2.127193e-02
1.000000000000002e-03	2.127193e-02
1.258925411794169e-03	2.127193e-02
1.584893192461116e-03	2.127193e-02
1.995262314968883e-03	2.127193e-02
2.511886431509585e-03	2.127193e-02
3.162277660168385e-03	2.127193e-02
3.981071705534979e-03	2.127193e-02
5.011872336272732e-03	2.127193e-02
6.309573444801944e-03	2.127193e-02
7.943282347242829e-03	2.127193e-02
1.000000000000002e-02	2.127193e-02
1.258925411794170e-02	2.127193e-02
1.584893192461117e-02	2.127193e-02
1.995262314968884e-02	2.127193e-02
2.511886431509586e-02	2.127193e-02
3.162277660168387e-02	2.127193e-02
3.981071705534982e-02	2.127193e-02
5.011872336272736e-02	2.127192e-02
6.309573444801950e-02	2.127192e-02
7.943282347242837e-02	2.127192e-02
1.000000000000003e-01	2.127192e-02
1.258925411794171e-01	2.127192e-02
1.584893192461118e-01	2.127192e-02
1.995262314968886e-01	2.127191e-02
2.511886431509588e-01	2.127191e-02
3.162277660168389e-01	2.127190e-02
3.981071705534985e-01	2.127190e-02
5.011872336272739e-01	2.127189e-02
6.309573444801954e-01	2.127188e-02
7.943282347242842e-01	2.127187e-02
1.000000000000003e+00	2.127185e-02
1.258925411794172e+00	2.127183e-02
1.584893192461119e+00	2.127181e-02
1.995262314968887e+00	2.127178e-02
2.511886431509589e+00	2.127174e-02
3.162277660168391e+00	2.127169e-02
3.981071705534987e+00	2.127163e-02
5.011872336272742e+00	2.127155e-02
6.309573444801956e+00	2.127145e-02
7.943282347242846e+00	2.127133e-02
1.000000000000004e+01	2.127117e-02
1.258925411794172e+01	2.127098e-02
1.584893192461120e+01	2.127073e-02
1.995262314968888e+01	2.127042e-02
2.511886431509591e+01	2.127003e-02
3.162277660168393e+01	2.126954e-02
3.981071705534990e+01	2.126891e-02
5.011872336272745e+01	2.126812e-02
6.309573444801961e+01	2.126712e-02
7.943282347242851e+01	2.126585e-02
1.000000000000005e+02	2.126423e-02
1.258925411794173e+02	2.126218e-02
1.584893192461121e+02	2.125955e-02
1.995262314968889e+02	2.125618e-02
2.511886431509593e+02	2.125183e-02
3.162277660168395e+02	1.803411e-02
3.981071705534993e+02	1.439247e-02
5.011872336272748e+02	1.146199e-02
6.309573444801965e+02	9.120438e-03
7.943282347242857e+02	7.253863e-03
1.000000000000005e+03	5.767341e-03
1.258925411794174e+03	4.584427e-03
1.584893192461122e+03	3.643539e-03
1.995262314968890e+03	2.895402e-03
2.511886431509594e+03	2.300667e-03
3.162277660168397e+03	1.827964e-03
3.981071705534995e+03	1.452304e-03
5.011872336272751e+03	1.153794e-03
6.309573444801968e+03	9.166188e-04
7.943282347242860e+03	7.281662e-04
1.000000000000000e+04	5.784502e-04
